Classifier,ADASYN,BorderlineSMOTE,RandomOverSampler,RandomUnderSampler,SMOTE
DecisionTreeClassifier,97.05882352941177,98.36601307189542,25.0,99.67320261437908,97.7124183006536
GradientBoostingClassifier,98.69281045751634,99.34640522875817,25.0,99.67320261437908,99.01960784313727
LogisticRegression,91.17647058823529,98.0392156862745,25.0,91.50326797385621,90.84967320261438
RandomForestClassifier,99.34640522875817,100.0,50.0,100.0,98.69281045751634
SVC,69.28104575163398,83.66013071895425,0.0,69.6078431372549,72.54901960784314
